State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2013-01-02,Parts per billion,32.434783,49.0,18,46,Parts per million,0.014041999999999999,0.038,9,35,Parts per billion,1.6521740000000003,4.0,7,6.0,Parts per million,0.526087,1.5,19,
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2013-01-02,Parts per billion,32.434783,49.0,18,46,Parts per million,0.014041999999999999,0.038,9,35,Parts per billion,1.6521740000000003,4.0,7,6.0,Parts per million,0.425,0.9,23,10.0
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2013-01-02,Parts per billion,32.434783,49.0,18,46,Parts per million,0.014041999999999999,0.038,9,35,Parts per billion,1.642857,3.3,8,,Parts per million,0.526087,1.5,19,
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2013-01-02,Parts per billion,32.434783,49.0,18,46,Parts per million,0.014041999999999999,0.038,9,35,Parts per billion,1.642857,3.3,8,,Parts per million,0.425,0.9,23,10.0
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2013-01-03,Parts per billion,30.875,59.0,8,56,Parts per million,0.018000000000000002,0.038,10,35,Parts per billion,2.125,6.0,7,9.0,Parts per million,0.5375,1.9,7,
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2013-01-03,Parts per billion,30.875,59.0,8,56,Parts per million,0.018000000000000002,0.038,10,35,Parts per billion,2.125,6.0,7,9.0,Parts per million,0.679167,1.2,1,14.0
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2013-01-03,Parts per billion,30.875,59.0,8,56,Parts per million,0.018000000000000002,0.038,10,35,Parts per billion,2.1,5.3,8,,Parts per million,0.5375,1.9,7,
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2013-01-03,Parts per billion,30.875,59.0,8,56,Parts per million,0.018000000000000002,0.038,10,35,Parts per billion,2.1,5.3,8,,Parts per million,0.679167,1.2,1,14.0
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2013-01-04,Parts per billion,28.173913,47.0,6,44,Parts per million,0.016708,0.039,9,36,Parts per billion,1.434783,4.0,20,6.0,Parts per million,0.64375,1.5,22,
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2013-01-04,Parts per billion,28.173913,47.0,6,44,Parts per million,0.016708,0.039,9,36,Parts per billion,1.434783,4.0,20,6.0,Parts per million,0.4,1.0,22,11.0
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2013-01-04,Parts per billion,28.173913,47.0,6,44,Parts per million,0.016708,0.039,9,36,Parts per billion,1.557143,3.3,23,,Parts per million,0.64375,1.5,22,
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2013-01-04,Parts per billion,28.173913,47.0,6,44,Parts per million,0.016708,0.039,9,36,Parts per billion,1.557143,3.3,23,,Parts per million,0.4,1.0,22,11.0
